event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end
46,1,6,1,6,compute,mb1_s6_fwd,0.0010247025599999999,0.00108720256,0,6,compute,mb1_s6_fwd,0.0010247025599999999,0.00108720256
47,1,7,1,7,compute,mb0_s7_fwd,0.0010247025599999999,0.00108720256,0,7,compute,mb0_s7_fwd,0.0010247025599999999,0.00108720256
48,1,4,1,5,comm,activation,0.00108720256,0.0011710886399999999,8388608,4,comm,activation,0.00108720256,0.0011710886399999999
49,1,5,1,6,comm,activation,0.00108720256,0.0011710886399999999,8388608,5,comm,activation,0.00108720256,0.0011710886399999999
50,1,6,1,7,comm,activation,0.00108720256,0.0011710886399999999,8388608,6,comm,activation,0.00108720256,0.0011710886399999999
51,1,7,2,8,comm,activation,0.00108720256,0.0011710886399999999,8388608,7,comm,activation,0.00108720256,0.0011710886399999999
52,1,5,1,5,compute,mb3_s5_fwd,0.0011710886399999999,0.00123358864,0,5,compute,mb3_s5_fwd,0.0011710886399999999,0.00123358864
53,1,6,1,6,compute,mb2_s6_fwd,0.0011710886399999999,0.00123358864,0,6,compute,mb2_s6_fwd,0.0011710886399999999,0.00123358864
54,1,7,1,7,compute,mb1_s7_fwd,0.0011710886399999999,0.00123358864,0,7,compute,mb1_s7_fwd,0.0011710886399999999,0.00123358864
55,2,8,2,8,compute,mb0_s8_fwd,0.0011710886399999999,0.00123358864,0,8,compute,mb0_s8_fwd,0.0011710886399999999,0.00123358864
56,1,5,1,6,comm,activation,0.00123358864,0.0013174747199999998,8388608,5,comm,activation,0.00123358864,0.0013174747199999998
57,1,6,1,7,comm,activation,0.00123358864,0.0013174747199999998,8388608,6,comm,activation,0.00123358864,0.0013174747199999998
58,1,7,2,8,comm,activation,0.00123358864,0.0013174747199999998,8388608,7,comm,activation,0.00123358864,0.0013174747199999998
59,2,8,2,9,comm,activation,0.00123358864,0.0013174747199999998,8388608,8,comm,activation,0.00123358864,0.0013174747199999998
60,1,6,1,6,compute,mb3_s6_fwd,0.0013174747199999998,0.00137997472,0,6,compute,mb3_s6_fwd,0.0013174747199999998,0.00137997472
61,1,7,1,7,compute,mb2_s7_fwd,0.0013174747199999998,0.00137997472,0,7,compute,mb2_s7_fwd,0.0013174747199999998,0.00137997472
62,2,8,2,8,compute,mb1_s8_fwd,0.0013174747199999998,0.00137997472,0,8,compute,mb1_s8_fwd,0.0013174747199999998,0.00137997472
63,2,9,2,9,compute,mb0_s9_fwd,0.0013174747199999998,0.00137997472,0,9,compute,mb0_s9_fwd,0.0013174747199999998,0.00137997472
64,1,6,1,7,comm,activation,0.00137997472,0.0014638607999999998,8388608,6,comm,activation,0.00137997472,0.0014638607999999998
65,1,7,2,8,comm,activation,0.00137997472,0.0014638607999999998,8388608,7,comm,activation,0.00137997472,0.0014638607999999998
66,2,8,2,9,comm,activation,0.00137997472,0.0014638607999999998,8388608,8,comm,activation,0.00137997472,0.0014638607999999998
67,2,9,2,10,comm,activation,0.00137997472,0.0014638607999999998,8388608,9,comm,activation,0.00137997472,0.0014638607999999998
68,1,7,1,7,compute,mb3_s7_fwd,0.0014638607999999998,0.0015263607999999999,0,7,compute,mb3_s7_fwd,0.0014638607999999998,0.0015263607999999999
